OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice
5001,1,2024-01-05,100,2,149.00
5002,1,2024-02-14,108,1,699.00
5003,2,2024-01-20,103,3,79.00
5004,3,2024-01-22,101,1,499.00
5005,3,2024-03-01,104,5,29.00
5006,4,2024-02-10,106,2,99.00
5007,5,2024-01-30,105,1,249.00
5008,6,2024-02-18,100,1,149.00
5009,6,2024-04-02,107,1,349.00
5010,7,2024-01-11,109,2,89.00
5011,8,2024-03-15,102,4,59.00
5012,9,2024-02-27,108,1,699.00
5013,9,2024-05-05,103,2,79.00
5014,10,2024-01-08,104,10,29.00
5015,11,2024-03-19,,1,0.00
5016,12,2024-04-11,101,1,499.00
5017,13,2024-01-25,105,2,249.00
5018,13,2024-02-25,106,1,99.00
5019,13,2024-03-25,107,1,349.00
5020,14,2024-04-30,100,3,149.00
5021,2,2024-05-12,102,2,59.00
5022,4,2024-05-20,109,1,89.00
5023,7,2024-06-01,103,1,79.00
5024,1,2024-06-15,104,4,29.00
5025,9,2024-06-20,101,1,499.00
5026,6,2024-06-28,105,1,249.00
5027,3,2024-07-02,108,1,699.00
5028,10,2024-07-09,100,2,149.00
5029,8,2024-07-15,107,1,349.00
5030,13,2024-07-22,102,3,59.00
